,Start time,Duration (s),Hg202_mean,Hg202_2SE,Hg202_NoOfPoints,Pb204_mean,Pb204_2SE,Pb204_NoOfPoints,Pb206_mean,Pb206_2SE,Pb206_NoOfPoints,Pb207_mean,Pb207_2SE,Pb207_NoOfPoints,Pb208_mean,Pb208_2SE,Pb208_NoOfPoints,Th232_mean,Th232_2SE,Th232_NoOfPoints,U238_mean,U238_2SE,U238_NoOfPoints,U235_mean,U235_2SE,U235_NoOfPoints,TotalBeam_mean,TotalBeam_2SE,TotalBeam_NoOfPoints,BeamSeconds_mean,BeamSeconds_2SE,BeamSeconds_NoOfPoints,Mask_mean,Mask_2SE,Mask_NoOfPoints,Hg202_CPS_mean,Hg202_CPS_2SE,Hg202_CPS_NoOfPoints,Pb204_CPS_mean,Pb204_CPS_2SE,Pb204_CPS_NoOfPoints,Pb206_CPS_mean,Pb206_CPS_2SE,Pb206_CPS_NoOfPoints,Pb207_CPS_mean,Pb207_CPS_2SE,Pb207_CPS_NoOfPoints,Pb208_CPS_mean,Pb208_CPS_2SE,Pb208_CPS_NoOfPoints,Th232_CPS_mean,Th232_CPS_2SE,Th232_CPS_NoOfPoints,U238_CPS_mean,U238_CPS_2SE,U238_CPS_NoOfPoints,U235_CPS_mean,U235_CPS_2SE,U235_CPS_NoOfPoints,TotalBeam_CPS_mean,TotalBeam_CPS_2SE,TotalBeam_CPS_NoOfPoints,Raw U/Th_mean,Raw U/Th_2SE,Raw U/Th_NoOfPoints,% Discordance_mean,% Discordance_2SE,% Discordance_NoOfPoints,Pb206/U238_mean,Pb206/U238_2SE,Pb206/U238_NoOfPoints,Pb206/U238 age_mean,Pb206/U238 age_2SE,Pb206/U238 age_NoOfPoints,Pb207/U235_mean,Pb207/U235_2SE,Pb207/U235_NoOfPoints,Pb207/U235 age_mean,Pb207/U235 age_2SE,Pb207/U235 age_NoOfPoints,Pb208/Th232_mean,Pb208/Th232_2SE,Pb208/Th232_NoOfPoints,Pb208/Th232 age_mean,Pb208/Th232 age_2SE,Pb208/Th232 age_NoOfPoints,DC Pb206/U238_mean,DC Pb206/U238_2SE,DC Pb206/U238_NoOfPoints,DC Pb206/U238 age_mean,DC Pb206/U238 age_2SE,DC Pb206/U238 age_NoOfPoints,DC Pb207/U235_mean,DC Pb207/U235_2SE,DC Pb207/U235_NoOfPoints,DC Pb207/U235 age_mean,DC Pb207/U235 age_2SE,DC Pb207/U235 age_NoOfPoints,DC Pb208/Th232_mean,DC Pb208/Th232_2SE,DC Pb208/Th232_NoOfPoints,DC Pb208/Th232 age_mean,DC Pb208/Th232 age_2SE,DC Pb208/Th232 age_NoOfPoints,DC Pb207/Pb206_mean,DC Pb207/Pb206_2SE,DC Pb207/Pb206_NoOfPoints,DC Pb207/Pb206 age_mean,DC Pb207/Pb206 age_2SE,DC Pb207/Pb206 age_NoOfPoints,Final Pb206/U238_mean,Final Pb206/U238_2SE,Final Pb206/U238_NoOfPoints,Final Pb206/U238 age_mean,Final Pb206/U238 age_2SE,Final Pb206/U238 age_NoOfPoints,Final Pb207/U235_mean,Final Pb207/U235_2SE,Final Pb207/U235_NoOfPoints,Final Pb207/U235 age_mean,Final Pb207/U235 age_2SE,Final Pb207/U235 age_NoOfPoints,Final Pb208/Th232_mean,Final Pb208/Th232_2SE,Final Pb208/Th232_NoOfPoints,Final Pb208/Th232 age_mean,Final Pb208/Th232 age_2SE,Final Pb208/Th232 age_NoOfPoints,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE,Final Pb207/Pb206_NoOfPoints,Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_2SE,Final Pb207/Pb206 age_NoOfPoints,Final U238/Pb206_mean,Final U238/Pb206_2SE,Final U238/Pb206_NoOfPoints,Final U/Th_mean,Final U/Th_2SE,Final U/Th_NoOfPoints,Approx_U_PPM_mean,Approx_U_PPM_2SE,Approx_U_PPM_NoOfPoints,Approx_Th_PPM_mean,Approx_Th_PPM_2SE,Approx_Th_PPM_NoOfPoints,
,2019-11-06 13:21:28.889,8.885,1297.27,93.5009,41,288.11,42.0688,41,124070,1816.17,41,6922.74,132.474,41,3744.05,119.22,41,82700.2,10927.7,41,3.03592e+06,99951.3,41,22022,725.242,41,3.2775e+06,106127,41,8.576,0.802212,41,1,0,41,183.283,93.5019,41,16.5815,42.0684,41,123801,1816.15,41,6727.52,132.462,41,3256.46,119.213,41,82700.2,10927.7,41,3.03592e+06,99951.3,41,22021.9,725.242,41,3.27514e+06,106127,41,42.9242,6.25852,41,-5.3433,14.5327,41,0.0412752,0.00112931,41,260.694,6.99024,41,0.308123,0.00976064,41,272.441,7.6045,41,0.0472142,0.00781742,41,926.933,148.881,41,0.0387893,0.00108474,41,245.289,6.73111,41,0.291176,0.00942866,41,259.212,7.43867,41,0.0557239,0.00920718,41,1088.53,173.377,41,0.0541473,0.000889281,41,371.814,37.7813,41,0.055086,0.00154016,41,345.603,9.40923,41,0.4086,0.0132285,41,347.416,9.57738,41,0.0176492,0.00291611,41,352.795,57.593,41,0.0536793,0.000881597,41,352.226,37.9142,41,18.297,0.515801,41,12.7576,1.86018,41,687.294,22.6145,41,66.3401,8.76777,41,


Mass Spectrometer Files
File,File start time,File end time,Time file loaded,No of data points,No of channels,Channels,Samples
/Users/danielbabin/Documents/LamontColumbia/LA-ICP-MS/Data/Attom/Standards/7806_TRA_Data.csv,2019-11-06 13:07:34.000,2019-11-06 13:25:58.589,2019-11-18 10:20:17.824,5153,8,Hg202;Pb204;Pb206;Pb207;Pb208;Th232;U238;U235,,
/Users/danielbabin/Documents/LamontColumbia/LA-ICP-MS/Data/Attom/Standards/7805_TRA_Data.csv,2019-11-06 12:22:04.000,2019-11-06 12:57:47.786,2019-11-18 10:20:18.425,10000,8,Hg202;Pb204;Pb206;Pb207;Pb208;Th232;U238;U235,,
Laser Log Files
File,File start time,File end time,Time file loaded,Samples,Offset (s),Widths


DRS Settings
Baseline Subtract
IndexChannel,U238
MaskChannel,U238
MaskCutoff,10000
MaskMethod,Cutoff
MaskResults,true
MaskTrim,0


Hf Isotopes
Age,0
HfTrue,0.7325
IndexChannel,TotalBeam
MaskChannel,TotalBeam
MaskCutoff,1000
MaskMethod,Cutoff
MaskResults,true
MaskTrim,0
ReferenceMaterial,Z_Plesovice
Yb31,1.132685
Yb63,0.796218


Trace Elements
Full-Quant,true
Howell,false
IndexChannel,Hg202
Longerich,false
MaskChannel,Hg202
MaskCutoff,1000
MaskResults,false
MaskTrim,0
Pettke,false
exceptions,


U-Pb Geochronology
238U/235U,137.818
BeamSecondsMaximum,60
BeamSecondsMethod,Cutoff threshold
BeamSecondsSensitivity,10000
DefaultFitType,Linear
FitEndCrop,1
FitStartCrop,1
IndexChannel,U238
MaskChannel,U238
MaskMethod,Cutoff
MaskResults,true
MaskThreshold,10000
MaskTrim,0
ReferenceMaterial,Z_Plesovice
l232,4.9475e-11
l235,9.8485e-10
l238,1.55125e-10


Reference Material Values
G_BCR2G
Matrix,Glass
Description,Natural glass, basaltic composition
Data Source,GeoRem database as of 2018-07-09
URL,
File Path,/Applications/iolite4.app/Contents/MacOS/../ReferenceMaterials/G_BCR2G.json
Notes,GEOREM preferred values. Uncertainties for some major elements have not been included, otherwise 2 sd Values for isotope ratios come from various sources. Please review all values before using them.

Ag,ppm,0.5,0.4
Al,ppm,70913,0
Ba,ppm,683,7
Be,ppm,2.3,0.4
Bi,ppm,0.05,0.01
Ca,ppm,50429,0
Cd,ppm,0.2,0
Ce,ppm,53.3,0.5
Co,ppm,38,2
Cr,ppm,17,2
Cs,ppm,1.16,0.07
Cu,ppm,21,5
Dy,ppm,6.44,0.06
Er,ppm,3.7,0.04
Eu,ppm,1.97,0.02
Fe,ppm,96385,0
Ga,ppm,23,1
Gd,ppm,6.71,0.07
Ge,ppm,1.5,0.1
Hf,ppm,4.84,0.28
Ho,ppm,1.27,0.08
In,ppm,0.11,0.02
K,ppm,14900,150
La,ppm,24.7,0.3
Li,ppm,9,1
Lu,ppm,0.503,0.005
Mg,ppm,21467,0
Mn,ppm,1550,70
Mo,ppm,270,30
Na,ppm,23962,0
Nb,ppm,12.5,1
Nd,ppm,28.9,0.3
Ni,ppm,13,2
P,ppm,1615,0
Pb,ppm,11,1
Pr,ppm,6.7,0.4
Pt,ppm,0.78,0.6
Rb,ppm,47,0.5
Re,ppm,0.0062,0.0007
Sb,ppm,0.35,0.08
Sc,ppm,33,2
Si,ppm,254270,0
Sm,ppm,6.59,0.07
Sn,ppm,2.6,0.4
Sr,ppm,342,4
Ta,ppm,0.78,0.06
Tb,ppm,1.02,0.08
Th,ppm,5.9,0.3
Ti,ppm,14100,1000
Tl,ppm,0.3,0.1
Tm,ppm,0.51,0.04
U,ppm,1.69,0.12
V,ppm,425,18
W,ppm,0.5,0.07
Y,ppm,35,3
Yb,ppm,3.39,0.03
Zn,ppm,125,5
Zr,ppm,184,15
206Pb/204Pb,ppm,18.765,0
207Pb/204Pb,ppm,15.626,0
207Pb/206Pb,ppm,0.833,0
208Pb/204Pb,ppm,38.73,0
208Pb/206Pb,ppm,2.066,0
230Th/232Th,unknown,4.724e-06,0
[230Th/232Th],ppm,0.877,0
234U/238U,unknown,5.493e-05,0
[234U/238U],ppm,1.001,0
87Sr/86Sr,ppm,0.705003,0
d7Li,ppm,4.5,0.6


C_MMC
Matrix,CaCO3
Description,Modern Marine Carbonate
Data Source,a bunch of shells from your local beach
URL,http://www.awebpageforthisstandardifappropriate.org
File Path,/Applications/iolite4.app/Contents/MacOS/../ReferenceMaterials/C_MMC.json
Notes,Any further notes about the standard can be entered here

87Sr_86Sr,ratio,0.709163,2e-05


Z_Plesovice
Matrix,Zircon
Description,Plesovice Zircon, natural standard
Data Source,Slama et al., 2008, Chem. Geol. 249, 1-35
URL,
File Path,/Applications/iolite4.app/Contents/MacOS/../ReferenceMaterials/Z_Plesovice.json
Notes,

Age,Ma,337,0
206Pb/238U,ratio,0.05368,0
207Pb/235U,ratio,0.394,0
208Pb/232Th,ratio,0.016461,0
207Pb/206Pb,ratio,0.05325,0
206Pb/208Pb,ratio,31.2138,0
206Pb/204Pb,ratio,51930,0
207Pb/204Pb,ratio,0,0
208Pb/204Pb,ratio,0,0
Pb,ppm,39,0
Th,ppm,78,0
U,ppm,755,0
176Hf/177Hf,ratio,0.282482,0


Z_Temora2
Matrix,Zircon
Description,Temora2 Zircon, natural standard
Data Source,Black et al., 2004, Chem. Geol.205, 115-140 and Woodhead & Hergt, 2005 Geostandards 29, 183-195 for Hf data
URL,
File Path,/Applications/iolite4.app/Contents/MacOS/../ReferenceMaterials/Z_Temora2.json
Notes,

Age,Ma,417,0
176Hf177Hf,ratio,0.282686,0
206Pb/238U,ratio,0.0667,0
207Pb/235U,ratio,0.5075,0
208Pb/232Th,ratio,0,0
207Pb/206Pb,ratio,0.0552,0
206Pb/208Pb,ratio,0,0
206Pb/204Pb,ratio,0,0
207Pb/204Pb,ratio,0,0
208Pb/204Pb,ratio,0,0


A_McClure
Matrix,Apatite
Description,McClure Mountain Apatite Apatite
Data Source,Schoene and Bowring, CMP, 2006
URL,
File Path,/Applications/iolite4.app/Contents/MacOS/../ReferenceMaterials/A_McClure.json
Notes,

Age,Ma,523.51,0
206Pb/238U,ratio,0.0845981,0
207Pb/235U,ratio,0.674607,0
208Pb/232Th,ratio,0,0
207Pb/206Pb,ratio,0.0578348,0
c207Pb/206Pb,ratio,0.88198,0
206Pb/208Pb,ratio,0,0
206Pb/204Pb,ratio,0,0
207Pb/204Pb,ratio,0,0
208Pb/204Pb,ratio,0,0
Pb,ppm,0,0
Th,ppm,71,0
U,ppm,23,0
176Hf/177Hf,ratio,0,0


G_NIST612
Matrix,Glass
Description,NIST 612 glass, nominal 40 ppm for many elements
Data Source,GeoRem database as of 2018-07-09
URL,
File Path,/Applications/iolite4.app/Contents/MacOS/../ReferenceMaterials/G_NIST612.json
Notes,These are the preferred values of NIST 612 from GEOREM. All uncertainties are 95%CL or 2 SD. Uncertainties for some major elements have not been included. Values for isotope ratios come from various sources. Please review all values before using them.

Ag,ppm,22,0.3
Al,ppm,11167,0
As,ppm,35.7,5.5
Au,ppm,4.77,0.31
B,ppm,34.3,1.7
Ba,ppm,39.3,0.9
Be,ppm,37.5,1.5
Bi,ppm,30.2,2.3
Ca,ppm,85002,0
Cd,ppm,28.1,1.1
Ce,ppm,38.4,0.7
Cl,ppm,142,58
Co,ppm,35.5,1
Cr,ppm,36.4,1.5
Cs,ppm,42.7,1.8
Cu,ppm,37.8,1.5
Dy,ppm,35.5,0.7
Er,ppm,38,0.9
Eu,ppm,35.6,0.8
F,ppm,80,89
Fe,ppm,51,2
Ga,ppm,36.9,1.5
Gd,ppm,37.3,0.9
Ge,ppm,36.1,3.8
Hf,ppm,36.7,1.2
Ho,ppm,38.3,0.8
In,ppm,38.9,2.1
K,ppm,62.3,2.4
La,ppm,36,0.7
Li,ppm,40.2,1.3
Lu,ppm,37,0.9
Mg,ppm,68,5.1
Mn,ppm,38.7,0.9
Mo,ppm,37.4,1.5
Na,ppm,103858,0
Nb,ppm,38.9,2.1
Nd,ppm,35.5,0.7
Ni,ppm,38.8,0.2
P,ppm,46.6,6.9
Pb,ppm,38.57,0.2
Pd,ppm,1.05,0.1
Pr,ppm,37.9,1
Pt,ppm,2.51,0.1
Rb,ppm,31.4,0.4
Re,ppm,6.63,0.61
Rh,ppm,0.91,0.02
S,ppm,377,70
Sb,ppm,34.7,1.8
Sc,ppm,39.9,2.5
Si,ppm,336061,0
Sm,ppm,37.7,0.8
Sn,ppm,38.6,1.3
Sr,ppm,78.4,0.2
Ta,ppm,37.6,1.9
Tb,ppm,37.6,1.1
Th,ppm,37.79,0.08
Ti,ppm,44,2.3
Tl,ppm,14.9,0.5
Tm,ppm,36.8,0.6
U,ppm,37.38,0.08
V,ppm,38.8,1.2
W,ppm,38,1.1
Y,ppm,38.3,1.4
Yb,ppm,39.2,0.9
Zn,ppm,39.1,1.7
Zr,ppm,37.9,1.2
11B/10B,ratio,4.048,0
143Nd/144Nd,ratio,0.51193,0
206Pb/204Pb,ratio,17.095,0
207Pb/204Pb,ratio,15.511,0
207Pb/206Pb,ratio,0.9073,0
208Pb/204Pb,ratio,37.005,0
208Pb/206Pb,ratio,2.1647,0
87Sr/86Sr,ratio,0.709063,0
d7Li,ratio,31.2,0


A_MAD
Matrix,Apatite
Description,Madagascar Apatite
Data Source,Thomson et al., 2012, G3
URL,
File Path,/Applications/iolite4.app/Contents/MacOS/../ReferenceMaterials/A_MAD.json
Notes,

Age,Ma,473.46,0
206Pb/238U,ratio,0.0762416,0
207Pb/235U,ratio,0.601257,0
208Pb/232Th,ratio,0,0
207Pb/206Pb,ratio,0.0571961,0
c207Pb/206Pb,ratio,0.8681,0
206Pb/208Pb,ratio,0,0
206Pb/204Pb,ratio,0,0
207Pb/204Pb,ratio,0,0
208Pb/204Pb,ratio,0,0
Pb,ppm,51.2,0
Th,ppm,798,0
U,ppm,22.2,0
176Hf/177Hf,ratio,0,0


G_BHVO2G
Matrix,Glass
Description,Natural glass, basaltic composition
Data Source,GeoRem database as of 2018-07-09
URL,
File Path,/Applications/iolite4.app/Contents/MacOS/../ReferenceMaterials/G_BHVO2G.json
Notes,GEOREM preferred values. Uncertainties for some major elements have not been included, otherwise 2 sd Values for isotope ratios come from various sources. Please review all values before using them.

Al,ppm,71971,0
Ba,ppm,131,2
Be,ppm,1.3,0.2
Bi,ppm,0.01,0.002
Ca,ppm,81430,0
Cd,ppm,0.1,0.02
Ce,ppm,37.6,0.2
Co,ppm,44,2
Cr,ppm,293,12
Cs,ppm,0.1,0.02
Cu,ppm,127,11
Dy,ppm,5.28,0.05
Er,ppm,2.56,0.02
Eu,ppm,2.07,0.01
Fe,ppm,87835,0
Ga,ppm,22,3
Gd,ppm,6.16,0.05
Ge,ppm,1.6,0.1
Hf,ppm,4.32,0.18
Ho,ppm,0.98,0.04
In,ppm,0.1,0.02
K,ppm,4270,50
La,ppm,15.2,0.2
Li,ppm,4.4,0.8
Lu,ppm,0.279,0.003
Mg,ppm,42994,0
Mn,ppm,1317,0
Mo,ppm,3.8,0.2
Na,ppm,17806,0
Nb,ppm,18.3,0.8
Nd,ppm,24.5,0.2
Ni,ppm,116,7
P,ppm,1266,0
Pb,ppm,1.7,0.2
Pr,ppm,5.35,0.22
Pt,ppm,0.46,0.09
Rb,ppm,9.2,0.04
Re,ppm,0.00047,0.00013
Sb,ppm,0.3,0.13
Sc,ppm,33,2
Si,ppm,230428,0
Sm,ppm,6.1,0.03
Sn,ppm,2.6,0.6
Sr,ppm,396,1
Ta,ppm,1.15,0.1
Tb,ppm,0.92,0.04
Th,ppm,1.22,0.05
Ti,ppm,16300,900
Tm,ppm,0.34,0.02
U,ppm,0.403,0.003
V,ppm,308,19
W,ppm,0.23,0.04
Y,ppm,26,2
Yb,ppm,2.01,0.02
Zn,ppm,102,6
Zr,ppm,170,7
206Pb/204Pb,ratio,18.733,0
207Pb/204Pb,ratio,15.571,0
208Pb/204Pb,ratio,38.27,0
87Sr/86Sr,ratio,0.703469,0


G_GSD1G
Matrix,Glass
Description,Synthetic Basalt Glass from USGS
Data Source,GeoRem database as of 2018-07-09
URL,
File Path,/Applications/iolite4.app/Contents/MacOS/../ReferenceMaterials/G_GSD1G.json
Notes,GEOREM preferred values, as at 131014 Values for isotope ratios come from various sources. Please review all values before using them.

Ag,ppm,23,3
Al,ppm,70919.5,0
As,ppm,27,8
Au,ppm,4,0
B,ppm,50,20
Ba,ppm,67,1
Be,ppm,46,5
Bi,ppm,35,4
Ca,ppm,51458.4,0
Cd,ppm,18,4
Ce,ppm,41.4,0.4
Co,ppm,40,2
Cr,ppm,42,3
Cs,ppm,32,2
Cu,ppm,42,2
Dy,ppm,51.2,0.5
Er,ppm,40.1,0.4
Eu,ppm,41,2
Fe,ppm,103382,0
Ga,ppm,54,7
Gd,ppm,50.7,0.5
Ge,ppm,32,8
Hf,ppm,39,2
Ho,ppm,49,2
In,ppm,38,5
K,ppm,25300,300
La,ppm,39.1,0.4
Li,ppm,43,6
Lu,ppm,51.5,0.5
Mg,ppm,21711.6,0
Mn,ppm,220,20
Mo,ppm,39,3
Na,ppm,26707,0
Nb,ppm,42,3
Nd,ppm,44.7,0.5
Ni,ppm,58,4
P,ppm,860,160
Pb,ppm,50,2
Pr,ppm,45,1
Pt,ppm,6,0
Rb,ppm,37.3,0.4
Sb,ppm,43,7
Sc,ppm,52,2
Se,ppm,2,1
Si,ppm,248678,0
Sm,ppm,47.8,0.5
Sn,ppm,29,6
Sr,ppm,69.4,0.7
Ta,ppm,40,4
Tb,ppm,47,2
Th,ppm,41,2
Ti,ppm,7433.92,0
Tl,ppm,0.9,0.1
Tm,ppm,49,2
U,ppm,41,2
V,ppm,44,2
W,ppm,43,4
Y,ppm,42,2
Yb,ppm,50.9,0.5
Zn,ppm,54,2
Zr,ppm,42,2
143Nd/144Nd,ratio,0.511521,0
176Hf/177Hf,ratio,0.282121,0
206Pb/204Pb,ratio,19.579,0
207Pb/204Pb,ratio,15.745,0
207Pb/206Pb,ratio,0.80418,0
208Pb/204Pb,ratio,38.908,0
208Pb/206Pb,ratio,1.9871,0
234U/238U,ratio,1.798,0
238U/235U,ratio,271.4,0
87Sr/86Sr,ratio,0.709416,0
d11B,ratio,10.1,0
d29Si,ratio,-0.12,0
d30Si,ratio,-0.21,0
d44/40Ca,ratio,0.86,0
d7Li,ratio,30.9,1


Z_91500
Matrix,Zircon
Description,91500 Zircon, natural standard
Data Source,Wiedenbeck et al. 95, Geostandards Newsletter 19, 1-23, plus GEOREM database as of Dec09, and Woodhead & Hergt, 2005 Geostandards 29, 183-195 for Hf data
URL,
File Path,/Applications/iolite4.app/Contents/MacOS/../ReferenceMaterials/Z_91500.json
Notes,204-based ratios are approximate, 207/235 value here calculated from 238/235 natural, not as reported in Wiedenbeck et al!

Age,Ma,1065,0
Ba,ppm,0.06,0
Ce,ppm,2.6,0
Cr,ppm,1.5,0
Dy,ppm,12,0
Er,ppm,25,0
Eu,ppm,0.24,0
Gd,ppm,2.2,0
Hf,ppm,5900,0
Ho,ppm,4.8,0
La,ppm,0.006,0
Lu,ppm,13,0
Nb,ppm,0.79,0
Nd,ppm,0.24,0
Ni,ppm,0.07,0
P,ppm,24,0
Pb,ppm,15,0
Pr,ppm,0.024,0
Si,ppm,152840,0
Sm,ppm,1,0
Sr,ppm,0.052,0
Ta,ppm,1,0
Tb,ppm,0.86,0
Th,ppm,30,0
Tl,ppm,6,0
Tm,ppm,6.9,0
U,ppm,80,0
Y,ppm,140,0
Yb,ppm,74,0
176Hf/177Hf,ratio,0.282306,0
206Pb/238U,ratio,0.17917,0
207Pb/235U,ratio,1.84983,0
208Pb/232Th,ratio,0.05374,0
207Pb/206Pb,ratio,0.07488,0
207Pb/206Pb(i),ratio,0.9142,0
206Pb/208Pb,ratio,9.35454,0
206Pb/204Pb,ratio,10000,0
207Pb/204Pb,ratio,749,0
208Pb/204Pb,ratio,1069,0


Z_FC1
Matrix,Zircon
Description,91500 Zircon, natural standard
Data Source,Wiedenbeck et al. 95, Geostandards Newsletter 19, 1-23, plus GEOREM database as of Dec09, and Woodhead & Hergt, 2005 Geostandards 29, 183-195 for Hf data
URL,
File Path,/Applications/iolite4.app/Contents/MacOS/../ReferenceMaterials/Z_FC1.json
Notes,204-based ratios are approximate, 207/235 value here calculated from 238/235 natural, not as reported in Wiedenbeck et al!

Age,Ma,1098,0
176Hf/177Hf,ratio,0.282306,0
206Pb/238U,ratio,0.1852,0
207Pb/235U,ratio,1.95161,0
208Pb/232Th,ratio,0.05587,0
207Pb/206Pb,ratio,0.07488,0
207Pb/206Pb(i),ratio,0.92053,0


Z_GJ1
Matrix,Zircon
Description,Gemoc GJ 1 Zircon, natural standard
Data Source,NIGL ID_TIMS data from D.Condon; 208/232 (model) data from Jackson et al. 2004 Chem Geol 211, 47-69. Hf data from More et al. 2008 Chem Geol 255, 231-235; Trace element data from Liu et al., 2010, Chi. Sci.Bull.55
URL,
File Path,/Applications/iolite4.app/Contents/MacOS/../ReferenceMaterials/Z_GJ1.json
Notes,204-based ratios are approximate, 207/235 value here calculated from 238/235 natural (137.88), errors are 2SD

Age,Ma,602,0.7
Ce,ppm,16,0
Dy,ppm,19.9,0
Er,ppm,29.3,0
Eu,ppm,1,0
Gd,ppm,6.9,0
Hf,ppm,6558,0
Ho,ppm,6.81,0
La,ppm,0.005,0
Lu,ppm,13.1,0
Nb,ppm,1.51,0
Nd,ppm,0.59,0
Pb,ppm,25.7,0
Pr,ppm,0.03,0
Si,ppm,0,0
Sm,ppm,1.42,0
Tb,ppm,1.95,0
Th,ppm,9.51,0
Ti,ppm,3.55,0
Tm,ppm,6.25,0
U,ppm,287,0
Y,ppm,246,0
Yb,ppm,62,0
Zr,ppm,431400,0
176Hf/177Hf,ratio,0.282,0
206Pb/238U,ratio,0.097853,0
207Pb/235U,ratio,0.814995,0
208Pb/232Th,ratio,0.03074,0
207Pb/206Pb,ratio,0.06041,0
206Pb/208Pb,ratio,88.08,0
206Pb/204Pb,ratio,71975,0
207Pb/204Pb,ratio,7430.5,0
208Pb/204Pb,ratio,0,0


G_NIST610
Matrix,Glass
Description,NIST 610 glass
Data Source,GeoRem database as of 2018-07-09
URL,
File Path,/Applications/iolite4.app/Contents/MacOS/../ReferenceMaterials/G_NIST610.json
Notes,GEOREM preferred values, as at 050509. Uncertainties for some major elements have not been included Values for isotope ratios come from various sources. Please review all values before using them.

Ag,ppm,251,9
Al,ppm,10797,0
As,ppm,325,18
Au,ppm,23.6,1.7
B,ppm,350,56
Ba,ppm,452,9
Be,ppm,476,31
Bi,ppm,384,26
Ca,ppm,82144,0
Cd,ppm,270,16
Ce,ppm,453,8
Cl,ppm,274,67
Co,ppm,410,10
Cr,ppm,408,10
Cs,ppm,366,9
Cu,ppm,441,15
Dy,ppm,437,11
Er,ppm,455,14
Eu,ppm,447,12
F,ppm,304,0
Fe,ppm,458,9
Ga,ppm,433,13
Gd,ppm,449,12
Ge,ppm,447,78
Hf,ppm,435,12
Ho,ppm,449,12
In,ppm,434,19
K,ppm,464,21
La,ppm,440,10
Li,ppm,468,24
Lu,ppm,439,8
Mg,ppm,432,29
Mn,ppm,444,13
Mo,ppm,417,21
Na,ppm,99415,0
Nb,ppm,465,34
Nd,ppm,430,8
Ni,ppm,458.7,4
P,ppm,413,46
Pb,ppm,426,1
Pd,ppm,1.21,0.44
Pr,ppm,448,7
Pt,ppm,3.12,0.08
Rb,ppm,425.7,1
Re,ppm,49.9,3.7
Rh,ppm,1.29,0.07
S,ppm,575,32
Sb,ppm,396,19
Sc,ppm,455,10
Se,ppm,138,42
Si,ppm,327180,0
Sm,ppm,453,11
Sn,ppm,430,29
Sr,ppm,515.5,1
Ta,ppm,446,33
Te,ppm,302,0
Tb,ppm,437,9
Th,ppm,457.2,1
Ti,ppm,452,10
Tl,ppm,59.6,2.8
Tm,ppm,435,10
U,ppm,461.5,1
V,ppm,450,9
W,ppm,444,29
Y,ppm,462,11
Yb,ppm,450,9
Zn,ppm,460,18
Zr,ppm,448,9
Zr,ppm,448,9
11B/10B,ratio,4.049,0
143Nd/144Nd,ratio,0.511927,0
206Pb/204Pb,ratio,17.045,0
207Pb/204Pb,ratio,15.504,0
207Pb/206Pb,ratio,0.9096,0
208Pb/204Pb,ratio,36.964,0
208Pb/206Pb,ratio,2.168,0
87Sr/86Sr,ratio,0.709699,0
d7Li,ratio,32.5,0


Things to cite:
Paton, C., Woodhead, J., Hellstrom, J., Hergt, J., Greig, A. & Maas, R (2010) Improved laser ablation U-Pb zircon geochronology through robust down-hole fractionation correction. G Cubed, 11, doi:10.1029/2009GC002618.
Paton, C., Hellstrom, J., Paul, B.,Woodhead, J. and Hergt, J. (2011) Iolite: Freeware for the visualisation and processing of mass spectrometric data. Journal of Analytical Atomic Spectrometry. doi:10.1039/c1ja10172b.
